Pablo Fornals
Pablo Sarabia
Pape Matar Sarr
Pascal Groß
Pascal Struijk
Patrick Bamford
Patson Daka
Paul Onuachu
Pedro Neto
Pedro Porro
Phil Foden
Philip Billing
Philippe Coutinho
Pierre-Emerick Aubameyang
Pontus Jansson
Raheem Sterling
Reece James
Reiss Nelson
Remo Freuler
Renan Lodi
Ricardo Pereira
Richarlison
Rico Henry
Rico Lewis
Riyad Mahrez
Rob Holding
Roberto Firmino
Robin Koch
Rodri
Rodrigo
Rodrigo Bentancur
Romain Perraud
Ruben Loftus-Cheek
Ryan Christie
Ryan Fraser
Ryan Fredericks
Ryan Sessegnon
Ryan Yates
Sam Greenwood
Sam Surridge
Saman Ghoddos
Samuel Edozie
Sasa Kalajdzic
Scott McKenna
Scott McTominay
Sean Longstaff
Serge Aurier
Shandon Baptiste
Shane Duffy
Solly March
Stefan Bajcetic
Steve Cook
Stuart Armstrong
Sven Botman
Taiwo Awoniyi
Takehiro Tomiyasu
Tariq Lamptey
Theo Walcott
Thiago Silva
Thilo Kehrer
Thomas Partey
Tim Ream
Timothy Castagne
Tom Cairney
Tom Davies
Tosin Adarabioyo
Trent Alexander-Arnold
Trevoh Chalobah
Tyler Adams
Tyrell Malacia
Tyrese Francois
Tyrick Mitchell
Tyrone Mings
Virgil van Dijk
Vitaliy Mykolenko
Vitaly Janelt
Wesley Fofana
Weston McKennie
Wilfred Ndidi
Wilfried Zaha
Will Hughes
William Saliba
Willian
Willy Boly
Wout Faes
Wout Weghorst
Yasin Ayari
Yerry Mina
Yoane Wissa
Youri Tielemans
Yves Bissouma
