Jugador,Mín,Goles_Anotados_S,Tiros_Penales_Intentados_S,xG,npxG,ACG,Regates_intentados_S,Distancia_de_paso_progresiva_P,Cruce_en_el_área_de_penalización_P,Pases_progresivos_P,Pases_Largos_PT,Saques_de_esquina_hacia_adentro_PT,Pases_intentados_Cortos_P,Pases_intentados_Medios_P,Pases_intentados_Largos_P,Intercepciones_D,Barridas_en_la_defensa_D,Robos_intentados_PO,Distancia_de_traslado_progresivo_PO,Robos_intentados_PO,Penal_ejecutado_M,Posicion_adelantada_M
Ante Budimir,1652,5,0,6.0,6.0,1.0,30.0,340.0,0.0,20.0,0.0,0.0,158.0,92.0,7.0,4,0.0,30.0,414.0,30.0,1.0,11
Anthony Elanga,426,0,0,0.7000000000000001,0.7000000000000001,1.0,15.0,298.0,0.0,8.0,0.0,0.0,86.0,32.0,3.0,2,0.0,15.0,276.0,15.0,0.0,3
Anthony Gordon,1511,3,0,4.5,4.5,1.0,64.0,1134.0,2.0,34.0,3.0,4.0,243.0,140.0,37.0,6,21.0,64.0,1198.0,64.0,0.0,4
Anthony Lozano,1323,1,0,1.7000000000000002,1.7000000000000002,5.0,42.0,508.0,1.0,26.0,0.0,0.0,142.0,76.0,12.0,3,0.0,42.0,617.0,42.0,1.0,8
Anthony Martial,885,5,1,5.4,4.6,5.0,21.0,776.0,0.0,30.0,3.0,0.0,187.0,67.0,11.0,1,0.0,21.0,519.0,21.0,1.0,6
Antoine Griezmann,2589,13,0,10.2,10.2,23.0,79.0,4966.0,13.0,152.0,16.0,40.0,700.0,441.0,195.0,22,12.0,79.0,2764.0,79.0,0.0,10
Antoine Semenyo,258,1,0,0.30000000000000004,0.30000000000000004,0.0,6.0,153.0,0.0,5.0,0.0,0.0,33.0,13.0,4.0,2,0.0,6.0,239.0,6.0,0.0,1
Antonee Robinson,2998,0,0,0.0,0.0,6.0,72.0,9354.0,24.0,125.0,0.0,0.0,711.0,767.0,287.0,52,41.0,72.0,4041.0,72.0,0.0,3
Antony,1774,4,0,6.6000000000000005,6.6000000000000005,7.0,74.0,1897.0,2.0,73.0,3.0,0.0,490.0,194.0,51.0,11,9.0,74.0,2488.0,74.0,0.0,2
Anuar,210,1,0,0.39999999999999997,0.39999999999999997,1.0,4.0,114.0,0.0,3.0,0.0,0.0,23.0,10.0,0.0,3,0.0,4.0,127.0,4.0,0.0,1
Aritz Elustondo,1382,0,0,0.6000000000000001,0.6000000000000001,2.0,8.0,3881.0,2.0,51.0,0.0,0.0,312.0,343.0,76.0,18,15.0,8.0,1144.0,8.0,0.0,1
Armando Broja,294,1,0,0.8,0.8,2.0,15.0,54.0,0.0,4.0,0.0,0.0,33.0,15.0,3.0,1,0.0,15.0,199.0,15.0,1.0,3
Arnau Puigmal,696,1,0,1.0,1.0,1.0,29.0,898.0,3.0,16.0,4.0,0.0,135.0,92.0,22.0,11,10.0,29.0,683.0,29.0,0.0,1
Arnaut Danjuma,648,3,1,3.5,2.7,0.0,14.0,277.0,4.0,4.0,0.0,0.0,96.0,36.0,5.0,0,2.0,14.0,389.0,14.0,0.0,4
Ashley Young,2036,1,0,0.30000000000000004,0.30000000000000004,2.0,22.0,6166.0,5.0,107.0,2.0,2.0,468.0,490.0,177.0,21,34.0,22.0,1554.0,22.0,0.0,1
Asier Illarramendi,946,1,0,0.7000000000000001,0.7000000000000001,2.0,5.0,1793.0,1.0,43.0,0.0,0.0,291.0,192.0,40.0,16,10.0,5.0,742.0,5.0,0.0,0
Augusto Solari,262,0,0,0.30000000000000004,0.30000000000000004,2.0,5.0,362.0,0.0,12.0,0.0,0.0,60.0,40.0,13.0,4,6.0,5.0,155.0,5.0,0.0,0
Axel Witsel,2009,0,0,0.6000000000000001,0.6000000000000001,3.0,6.0,6224.0,0.0,80.0,0.0,0.0,533.0,555.0,76.0,23,19.0,6.0,1841.0,6.0,0.0,0
Aymeric Laporte,826,0,0,0.4,0.4,0.0,2.0,3601.0,0.0,79.0,1.0,0.0,396.0,339.0,61.0,2,4.0,2.0,2318.0,2.0,0.0,1
Ben Chilwell,1408,2,0,1.4000000000000001,1.4000000000000001,4.0,23.0,3238.0,7.0,41.0,2.0,25.0,507.0,284.0,123.0,18,12.0,23.0,1852.0,23.0,1.0,3
Ben Davies,2198,2,0,1.0,1.0,6.0,14.0,5672.0,5.0,104.0,1.0,0.0,540.0,498.0,132.0,18,10.0,14.0,2677.0,14.0,0.0,1
Ben Godfrey,802,0,0,1.2,1.2,2.0,8.0,1252.0,1.0,19.0,0.0,0.0,111.0,111.0,41.0,8,13.0,8.0,426.0,8.0,0.0,1
Ben Johnson,865,0,0,0.0,0.0,0.0,17.0,2496.0,5.0,37.0,0.0,0.0,202.0,217.0,85.0,9,12.0,17.0,650.0,17.0,0.0,1
Ben Mee,3179,3,0,3.0,3.0,1.0,13.0,10505.0,1.0,84.0,0.0,0.0,599.0,770.0,310.0,47,28.0,13.0,2566.0,13.0,0.0,1
Ben White,2965,2,0,1.3,1.3,13.0,29.0,10442.0,12.0,247.0,5.0,0.0,956.0,947.0,205.0,22,23.0,29.0,3487.0,29.0,0.0,1
Bernardo Espinosa,1027,1,0,1.1,1.1,2.0,4.0,4549.0,0.0,25.0,0.0,0.0,239.0,373.0,75.0,8,1.0,4.0,1512.0,4.0,0.0,0
Bernardo Silva,2122,4,0,2.1,2.1,12.0,64.0,3401.0,9.0,126.0,3.0,0.0,726.0,508.0,146.0,15,11.0,64.0,3438.0,64.0,1.0,2
Beñat Turrientes,106,0,0,0.0,0.0,0.0,3.0,113.0,0.0,2.0,0.0,2.0,23.0,14.0,9.0,0,3.0,3.0,51.0,3.0,0.0,0
Billy Gilmour,454,0,0,0.4,0.4,3.0,4.0,1305.0,0.0,34.0,2.0,0.0,180.0,139.0,36.0,4,2.0,4.0,547.0,4.0,0.0,0
Borja Iglesias,2168,13,6,13.4,8.6,5.0,31.0,599.0,0.0,28.0,5.0,0.0,288.0,89.0,18.0,1,3.0,31.0,659.0,31.0,0.0,19
Borja Mayoral,2756,8,2,7.6000000000000005,6.0,3.0,70.0,1623.0,4.0,64.0,2.0,0.0,397.0,211.0,71.0,3,7.0,70.0,1531.0,70.0,1.0,10
Boubacar Kamara,1687,0,0,0.1,0.1,4.0,32.0,3709.0,0.0,81.0,2.0,0.0,428.0,320.0,93.0,18,24.0,32.0,1120.0,32.0,0.0,0
Brenden Aaronson,2311,1,0,4.1000000000000005,4.1000000000000005,7.0,100.0,2137.0,4.0,84.0,8.0,16.0,409.0,189.0,61.0,5,15.0,100.0,1502.0,100.0,0.0,6
Brennan Johnson,2844,8,3,8.8,6.5,11.0,86.0,808.0,6.0,30.0,0.0,1.0,217.0,173.0,34.0,5,17.0,86.0,2050.0,86.0,1.0,17
Brian Ocampo,1119,1,0,0.4,0.4,5.0,45.0,1051.0,6.0,22.0,0.0,11.0,207.0,86.0,41.0,3,12.0,45.0,1302.0,45.0,0.0,2
Bruno Fernandes,3148,6,1,7.7,6.9,17.0,62.0,8483.0,9.0,251.0,34.0,19.0,857.0,600.0,311.0,24,23.0,62.0,3122.0,62.0,0.0,15
Bryan Mbeumo,2818,9,1,9.3,8.5,14.0,85.0,3090.0,13.0,87.0,7.0,36.0,443.0,280.0,144.0,10,5.0,85.0,1862.0,85.0,0.0,5
Bukayo Saka,3122,13,3,11.3,9.2,26.0,157.0,3643.0,12.0,107.0,2.0,74.0,740.0,372.0,162.0,14,22.0,157.0,4404.0,157.0,0.0,9
Callum Wilson,1788,18,3,16.8,14.4,10.0,36.0,338.0,0.0,19.0,2.0,0.0,142.0,43.0,10.0,1,0.0,36.0,638.0,36.0,0.0,14
Calum Chambers,353,0,0,0.1,0.1,0.0,0.0,1310.0,1.0,16.0,0.0,0.0,76.0,94.0,31.0,7,7.0,0.0,540.0,0.0,0.0,0
Carlos Alcaraz,869,4,0,1.5,1.5,3.0,20.0,558.0,0.0,22.0,1.0,0.0,120.0,76.0,17.0,1,1.0,20.0,550.0,20.0,0.0,2
Carlos Clerc,2459,0,0,0.5,0.5,4.0,55.0,5994.0,8.0,94.0,1.0,0.0,594.0,462.0,162.0,25,53.0,55.0,2042.0,55.0,0.0,2
Carney Chukwuemeka,232,0,0,0.4,0.4,0.0,9.0,297.0,2.0,12.0,0.0,0.0,82.0,19.0,5.0,4,6.0,9.0,454.0,9.0,0.0,1
Casemiro,1976,3,0,3.3000000000000003,3.3000000000000003,6.0,18.0,6694.0,4.0,142.0,10.0,0.0,577.0,504.0,196.0,34,41.0,18.0,1329.0,18.0,0.0,1
Chris Mepham,2199,0,0,0.4,0.4,0.0,7.0,5694.0,0.0,42.0,0.0,0.0,346.0,525.0,142.0,30,37.0,7.0,1628.0,7.0,0.0,0
Chris Ramos,710,1,0,3.1,3.1,0.0,22.0,206.0,1.0,6.0,0.0,0.0,92.0,28.0,4.0,1,2.0,22.0,191.0,22.0,1.0,0
Chris Richards,447,0,0,0.7,0.7,0.0,0.0,991.0,0.0,14.0,0.0,0.0,79.0,96.0,27.0,8,8.0,0.0,269.0,0.0,0.0,1
Chris Wood,818,3,1,2.8000000000000003,2.1,0.0,4.0,288.0,0.0,11.0,1.0,0.0,110.0,47.0,7.0,2,0.0,4.0,132.0,4.0,0.0,6
Christian Eriksen,1954,1,0,4.1,4.1,8.0,17.0,5947.0,5.0,160.0,9.0,27.0,680.0,491.0,194.0,11,9.0,17.0,1701.0,17.0,0.0,3
Christian Pulisic,785,1,0,1.4,1.4,3.0,44.0,536.0,1.0,22.0,1.0,0.0,171.0,79.0,17.0,4,3.0,44.0,1030.0,44.0,0.0,0
Cody Gakpo,1424,6,0,5.2,5.2,6.0,47.0,1053.0,1.0,47.0,3.0,3.0,200.0,114.0,19.0,4,4.0,47.0,1113.0,47.0,1.0,8
Cole Palmer,150,0,0,0.0,0.0,0.0,11.0,166.0,1.0,8.0,0.0,0.0,41.0,34.0,8.0,1,0.0,11.0,222.0,11.0,0.0,1
Conor Coady,2006,1,0,0.9,0.9,1.0,3.0,8187.0,1.0,41.0,1.0,0.0,296.0,603.0,261.0,14,8.0,3.0,2398.0,3.0,0.0,2
Conor Gallagher,1403,3,0,1.3,1.3,3.0,51.0,2209.0,5.0,93.0,1.0,9.0,394.0,261.0,55.0,19,16.0,51.0,1226.0,51.0,0.0,2
Craig Dawson,2134,1,0,1.6,1.6,1.0,5.0,7709.0,0.0,62.0,0.0,0.0,343.0,592.0,272.0,18,14.0,5.0,1923.0,5.0,1.0,0
Cristhian Mosquera,145,0,0,0.2,0.2,0.0,0.0,314.0,0.0,1.0,0.0,0.0,33.0,23.0,9.0,1,3.0,0.0,61.0,0.0,0.0,0
Cristhian Stuani,973,8,5,8.700000000000001,4.7,1.0,4.0,126.0,0.0,9.0,0.0,0.0,89.0,40.0,7.0,2,2.0,4.0,143.0,4.0,0.0,7
Cristian Romero,2364,0,0,1.4000000000000001,1.4000000000000001,4.0,22.0,9085.0,0.0,92.0,4.0,0.0,618.0,746.0,176.0,44,42.0,22.0,2993.0,22.0,1.0,0
Crysencio Summerville,1397,4,0,2.6,2.6,5.0,56.0,1066.0,2.0,45.0,1.0,0.0,253.0,90.0,24.0,12,14.0,56.0,1284.0,56.0,1.0,8
Curtis Jones,979,3,0,1.2000000000000002,1.2000000000000002,4.0,28.0,1825.0,1.0,64.0,5.0,0.0,335.0,235.0,31.0,3,8.0,28.0,968.0,28.0,0.0,2
Cyle Larin,1199,7,1,6.0,5.3,5.0,24.0,269.0,1.0,11.0,1.0,0.0,114.0,44.0,11.0,0,2.0,24.0,506.0,24.0,0.0,21
Dan Burn,3005,1,0,2.2,2.2,3.0,25.0,8509.0,2.0,109.0,0.0,0.0,715.0,655.0,178.0,31,29.0,25.0,1989.0,25.0,0.0,7
Dango Ouattara,1151,1,0,3.4,3.4,5.0,70.0,1013.0,8.0,21.0,5.0,0.0,148.0,97.0,36.0,13,20.0,70.0,1027.0,70.0,0.0,8
Dani Ceballos,1389,0,0,0.7000000000000001,0.7000000000000001,8.0,54.0,5929.0,1.0,184.0,5.0,2.0,679.0,434.0,132.0,23,10.0,54.0,2980.0,54.0,0.0,1
Daniel Amartey,1610,0,0,1.0,1.0,1.0,5.0,6591.0,0.0,66.0,2.0,0.0,473.0,526.0,91.0,8,13.0,5.0,2275.0,5.0,0.0,0
Daniel James,808,2,0,1.9000000000000001,1.9000000000000001,0.0,19.0,369.0,3.0,18.0,0.0,0.0,118.0,53.0,15.0,3,5.0,19.0,710.0,19.0,1.0,2
Daniel Podence,1771,6,0,3.8000000000000003,3.8000000000000003,3.0,61.0,2311.0,7.0,95.0,9.0,9.0,301.0,209.0,90.0,7,13.0,61.0,1229.0,61.0,0.0,4
